Feature,Importance_Elite8,Importance_Wins
FG3Pct,0.0036495973,0.0040490604
CenterPts,0.0036495528,0.003351403
SFHeight,0.0035212818,0.004381674
RankFG3Pct,0.0034973547,0.0057556555
RankPGHeight,0.0034893975,0.006411265
PGPts,0.003460964,0.0040687197
RankSGHeight,0.0032990365,0.004627438
FG3Rate,0.003284365,0.0026296915
RankPGOR,0.0032682258,0.0028237177
CenterOR,0.0032513656,0.00361077
Raw Offensive Efficiency,0.0032508434,0.003442798
PGHeight,0.0032294572,0.006381156
PFHeight,0.0032121036,0.003644221
RankDef3PtFG,0.0031901803,0.003435174
RankDefFT,0.003187219,0.0033567424
Coach_Exp_Numeric,0.0031369925,0.009397001
RankPGDR,0.0031057873,0.0025782336
PFDR,0.0030600938,0.002649376
RankPFDR,0.0030509534,0.0027099266
CenterHeight,0.0029854414,0.0039638104
RankOppStlRate,0.0028328164,0.0036824415
RankOppFG3Rate,0.0028055096,0.004447161
RankPFHeight,0.0027614129,0.0052878344
PGDR,0.0027338837,0.0030393004
Pre-Tournament.AdjDE,0.002605421,0.007887813
Pre-Tournament.RankAdjTempo,0.0025619355,0.0031993773
Offensive_Analytics_Score,0.0025059702,0.0037039532
RankPGPts,0.0024582634,0.006244009
Pre-Tournament.RankOE,0.0024552387,0.0034459103
Raw Defensive Efficiency Rank,0.0022980992,0.002716769
OppStlRate,0.0022885245,0.0055336882
OffFT,0.00222898,0.0029924037
RankCenterPts,0.0022123517,0.003550555
FTRate,0.0021756096,0.0039526504
SFPts,0.0021539426,0.003179224
RankOffFT,0.0021322262,0.0036597196
RankCenterHeight,0.0021201507,0.003799135
RankORPct,0.0020729122,0.003213142
RankEffectiveHeight,0.0020585877,0.0075222873
RankSGPts,0.001935568,0.006109441
RankOE,0.0019153329,0.0036354573
SGPts,0.0018665693,0.0027673065
RankeFGPct,0.0017813556,0.0035186931
RankSGOR,0.0017571524,0.003719886
PFOR,0.0017127298,0.0031111126
Pre-Tournament.RankAdjTempo_Fallback,0.0016794027,0.0
Pre-Tournament.AdjDE_Fallback,0.0015354748,0.007935627
Pre-Tournament.RankAdjDE,0.0015353833,0.005879974
SGOR,0.0014091538,0.0027020753
Experience,0.0014046312,0.0046583638
Pre-Tournament.Tempo_Fallback,0.0012712152,0.0012217407
DE,0.001160578,0.003979327
SGHeight,0.0011603351,0.003950973
Raw Offensive Efficiency Rank,0.00112939,0.0023838114
Pre-Tournament.RankAdjOE_Fallback,0.0010623235,0.0
OppFG3Rate,0.001062261,0.0037498407
Active Coaching Length Index,0.00026522495,0.0036860057
RankAdjTempo,5.732663e-05,0.007995039
Pre-Tournament.RankAdjEM_Fallback,0.0,0.012053551
Pre-Tournament.AdjOE_Fallback,0.0,0.005394251
Pre-Tournament.AdjTempo_Fallback,0.0,0.0119982455
NBA_Prospects,0.0,0.0057840548
